t,score,shape,power_db,rssi,state
37.578,-0.858,0.330,-0.031,-55.5,0
37.711,-0.865,0.384,-0.047,-55.3,0
37.872,-0.808,0.456,-0.016,-55.1,0
38.052,-0.681,0.523,-0.075,-55.0,0
38.192,-0.554,0.547,-0.113,-55.2,0
38.342,-0.487,0.567,-0.090,-55.2,0
38.488,-0.322,0.602,-0.176,-55.2,0
38.609,-0.306,0.563,-0.145,-55.2,0
38.771,-0.134,0.652,0.198,-55.3,0
38.911,0.019,0.627,0.244,-55.4,0
39.059,0.489,0.734,0.398,-55.4,0
39.208,0.638,0.723,0.355,-55.5,0
39.330,0.541,0.663,0.288,-55.6,0
39.491,0.472,0.699,0.268,-55.6,0
39.628,0.039,0.494,-0.109,-55.5,0
39.751,-0.025,0.543,-0.201,-55.5,0
39.901,-0.194,0.489,-0.143,-55.3,0
40.034,-0.083,0.525,-0.254,-55.2,0
40.168,-0.263,0.496,-0.114,-55.1,0
40.291,-0.338,0.490,-0.137,-55.1,0
40.416,-0.470,0.449,-0.093,-55.2,0
40.561,-0.600,0.449,0.004,-55.1,0
40.681,-0.661,0.459,-0.001,-55.1,0
40.830,-0.597,0.499,0.101,-55.1,0
40.956,-0.642,0.474,-0.014,-55.2,0
41.170,-0.637,0.492,-0.041,-55.1,0
41.291,-0.620,0.489,-0.068,-55.1,0
41.447,-0.410,0.575,0.175,-55.1,0
41.580,-0.276,0.564,0.193,-55.2,0
41.728,-0.090,0.634,0.228,-54.9,0
41.850,0.271,0.722,0.330,-54.9,0
41.973,0.254,0.648,0.246,-54.9,0
42.118,1.182,1.009,0.578,-55.0,0
42.239,0.736,0.662,0.231,-54.9,0
42.370,0.544,0.682,0.252,-54.9,0
42.539,0.400,0.678,0.234,-55.0,0
42.673,0.727,0.919,0.359,-55.0,0
42.811,0.408,0.756,0.101,-54.9,0
42.934,0.149,0.707,0.015,-54.9,0
43.077,0.073,0.739,0.102,-55.0,0
43.198,0.120,0.724,0.196,-55.0,0
43.354,0.091,0.656,0.196,-55.0,0
43.523,-0.264,0.448,0.072,-55.0,0
43.649,-0.520,0.411,0.035,-55.0,0
43.773,0.225,0.754,0.410,-55.0,0
43.897,0.353,0.649,0.310,-55.0,0
44.038,0.016,0.559,0.106,-55.0,0
44.171,-0.241,0.534,0.035,-55.1,0
44.309,-0.381,0.535,0.038,-55.1,0
44.433,-0.439,0.553,0.042,-55.1,0
44.578,-0.185,0.542,-0.257,-55.1,0
44.703,-0.163,0.516,-0.201,-55.1,0
44.863,-0.373,0.473,-0.066,-55.1,0
45.002,-0.465,0.506,0.070,-55.0,0
45.148,-0.546,0.462,-0.070,-55.1,0
45.269,-0.539,0.464,-0.115,-55.1,0
45.425,-0.488,0.461,-0.150,-55.1,0
45.577,-0.597,0.435,-0.056,-55.1,0
45.720,-0.674,0.417,-0.057,-55.1,0
45.841,-0.727,0.398,-0.066,-55.1,0
46.000,-0.732,0.420,0.081,-55.0,0
46.139,-0.761,0.407,0.067,-55.0,0
46.263,-0.840,0.372,0.011,-55.0,0
46.442,-0.872,0.368,-0.035,-55.0,0
46.589,-0.857,0.383,-0.062,-55.0,0
46.715,-0.879,0.383,-0.015,-55.0,0
46.860,-0.891,0.384,-0.009,-55.0,0
47.038,-0.882,0.397,-0.020,-55.0,0
47.161,-0.888,0.387,-0.018,-55.0,0
47.310,-0.894,0.386,0.013,-55.0,0
47.458,-0.826,0.355,-0.116,-55.2,0
47.585,-0.892,0.334,-0.048,-55.1,0
47.709,-0.865,0.343,-0.096,-55.1,0
47.858,-0.913,0.328,-0.055,-55.1,0
